Fine_Mode_AOD,Coarse_Mode_AOD,FineModeFraction,Angstrom_Exponent(AE),AI,AT,CO_MF,HCHO_Amount,NO2_Column,Scattering_angle,SO2_Column,SSA,Aerosol_Type
0.096187,0.275048,0.259299,0.471853,0.51,297.792206,139.858891,4.50E+15,2.59E+15,140.412846,0.31,0.93,DU
0.067559,0.212546,0.240262,0.436879,0.76,299.70517,134.88589,3.05E+15,1.63E+15,99.7799978,0.44,0.93,DU
0.092444,0.285197,0.243235,0.439983,0.79,300.203186,128.646935,3.83E+15,1.87E+15,153.778057,0.1,0.91,DU
0.113847,0.239289,0.323972,0.635073,1.26,301.391815,147.664848,3.18E+15,3.27E+15,102.876978,0.32,0.91,DU
0.112002,0.256607,0.301943,0.524791,1.05,301.327637,145.258962,6.68E+14,2.14E+15,166.829127,0.46,0.92,DU
0.058058,0.196334,0.228459,0.424481,0.55,297.876617,163.833067,7.38E+14,2.84E+15,144.69002,-0.2,0.93,DU
0.166725,0.528237,0.265312,0.465741,0.66,301.077301,147.205943,2.02E+15,4.16E+15,103.079998,0.36,0.92,DU
0.142875,0.380019,0.273012,0.483651,0.97,301.064056,151.045186,4.30E+15,4.18E+15,166.136994,0.28,0.94,DU
0.106173,0.375488,0.218766,0.363944,0.99,302.188721,149.484251,4.01E+15,3.84E+15,107.948852,0.2,0.91,DU
0.078417,0.2121,0.269736,0.525207,0.74,301.485535,149.266876,6.55E+15,1.05E+15,158.795108,0.21,0.91,DU
0.12803,0.227418,0.356437,0.745104,0.71,303.594421,130.063511,6.24E+15,5.83E+15,148.628299,0.91,0.95,UN
0.147888,0.276406,0.348744,0.711344,0.46,304.718964,141.90412,2.37E+15,2.46E+15,105.945086,0.54,0.91,DU
0.140002,0.309621,0.31125,0.583005,1.01,304.062073,148.346226,5.32E+15,2.61E+15,171.709309,0.32,0.92,DU
0.201319,0.30419,0.398398,0.833481,0.88,305.828827,142.11739,3.06E+15,4.92E+15,110.933834,0.93,0.92,DU
0.038286,0.133876,0.239,0.521814,0.36,303.215668,130.802055,3.05E+15,8.44E+14,144.690402,0.11,0.93,DU
0.057923,0.187684,0.237564,0.38778,0.9,303.828186,131.580572,1.02E+15,1.02E+15,162.532211,-0.03,0.9,DU
